Name E(MP2/CBS) E(HF/aDZ) E(HF/aDZ-ACP_Comp)
bh9_02_47R2 -230.5299298530 -229.4129313630 -230.52937501
bh9_02_47TS -604.9907788470 -602.1234431300 -604.99027821
bh9_02_48P -726.4625076380 -722.9841654150 -726.46254149
bh9_02_48R1 -495.7928609060 -493.4413729250 -495.79142973
bh9_02_48TS -726.3388403630 -722.8245533910 -726.33745946
bh9_02_49P -847.0902927030 -843.0733625570 -847.09099158
bh9_02_49R1 -537.9087144500 -535.4247904590 -537.90949508
bh9_02_49R2 -309.1166947950 -307.6196087300 -309.11661549
bh9_02_49TS -847.0298429300 -842.9712481650 -847.03155962
bh9_02_50P -901.4122036480 -897.1918597380 -901.41037469
bh9_02_50R -901.3846265810 -897.1615391050 -901.38509380
bh9_02_50TS -901.3652823760 -897.1070232440 -901.36546154
bh9_02_51P1 -901.4187690520 -897.2012850170 -901.41705049
bh9_02_51P2 -76.3658111116 -76.0412486509 -76.36573879
bh9_02_51R1 -901.3764460090 -897.1536074680 -901.37767229
bh9_02_51TS -1054.1191544400 -1049.2084720700 -1054.11967371
bh9_02_52P -745.6283340600 -742.2225460550 -745.62800491
bh9_02_52R1 -439.5224997540 -437.4655625940 -439.52244080
bh9_02_52R2 -306.0675455890 -304.7214933840 -306.06802695
bh9_02_52TS -745.5888447860 -742.1261368340 -745.58860299
bh9_02_53P -818.4147010450 -814.7852715400 -818.41403402
bh9_02_53R2 -378.8503792160 -377.2829050740 -378.85040531
bh9_02_53TS -818.3687857970 -814.6977786350 -818.36937215
bh9_02_54P -940.3645699620 -935.9312183590 -940.36376725
bh9_02_54R1 -518.0046328320 -515.5356847680 -518.00444338
bh9_02_54R2 -422.3188978680 -420.3570175610 -422.31758595
bh9_02_54TS -940.3256224950 -935.8741067470 -940.32600895
bh9_02_55P -516.5845422890 -514.0535683900 -516.58354175
bh9_02_55R2 -203.8346961440 -202.8984273210 -203.83464737
bh9_02_55TS -516.5215643630 -513.9306179270 -516.52075034
bh9_02_56P -515.4242067720 -512.9111544650 -515.42463887
bh9_02_56TS -515.2874257100 -512.7329975590 -515.28702377
bh9_02_57P -819.8026645510 -815.8994730580 -819.80325593
bh9_02_57TS -819.6809395680 -815.7263126950 -819.68045579
bh9_02_58P -359.5807255580 -357.8658790580 -359.57923709
bh9_02_58TS -359.4902944140 -357.7222384150 -359.48979132
bh9_02_59P -359.5804352810 -357.8649347190 -359.57907480
bh9_02_5P -480.9346985850 -478.5950964140 -480.93422344
bh9_02_5R -480.8204850670 -478.4935111090 -480.82076211
bh9_02_5TS -480.7927823600 -478.4180044210 -480.79246204
bh9_02_60P -991.6716932570 -988.5068798730 -991.67451405
bh9_02_60R1 -787.7050198950 -785.4863706550 -787.70694971
bh9_02_60TS -991.5431800780 -988.3399019100 -991.54504719
bh9_02_61P -575.8270010840 -573.0403737250 -575.82817786
bh9_02_61R1 -458.0405343750 -455.8771524990 -458.03982998
bh9_02_61R2 -117.6898842690 -117.0866861850 -117.69008898
bh9_02_61TS -575.7337413170 -572.9456654480 -575.73436091
bh9_02_62P -575.8241812090 -573.0375256960 -575.82468048
bh9_02_62TS -575.7305756910 -572.9334456210 -575.73168560
bh9_02_63P -574.5932647310 -571.8410964410 -574.59342101
bh9_02_63R -574.5510607880 -571.8041753360 -574.55077123
bh9_02_63TS -574.5277660730 -571.7652410970 -574.52868381
bh9_02_64P -613.8717427420 -610.9130655050 -613.87202360
bh9_02_64TS -613.7905584500 -610.8213786240 -613.79178896
bh9_02_65P -653.1210543140 -649.9537391280 -653.12118262
bh9_02_65R -653.0385360170 -649.8793065450 -653.03825321
bh9_02_65TS -653.0292781890 -649.8553224930 -653.03055927
bh9_02_66P -653.1224102830 -649.9520772490 -653.12296976
bh9_02_66R -653.0376724580 -649.8826934110 -653.03714341
bh9_02_66TS -653.0291689860 -649.8617712310 -653.02978166
bh9_02_67P -1579.0364839600 -1572.2386834100 -1579.03599456
bh9_02_67R1 -1019.5703213000 -1015.5230046100 -1019.57101015
bh9_02_67R2 -559.4276175480 -556.6786419280 -559.42661985
bh9_02_67TS -1578.9918480200 -1572.1564210400 -1578.99173733
bh9_02_68P -1450.5859474500 -1444.4258036800 -1450.58571605
bh9_02_68R1 -891.1201442510 -887.7077087560 -891.12062412
bh9_02_68R2 -559.4289124600 -556.6821477470 -559.42818829
bh9_02_68TS -1450.5402486500 -1444.3401067600 -1450.54047354
bh9_02_69P -954.7296000470 -950.1490640320 -954.72907201
bh9_02_69R1 -395.2657769010 -393.4348204800 -395.26561515
bh9_02_69TS -954.6783125630 -950.0575634880 -954.67810222
bh9_02_6P -480.9291044330 -478.6008871040 -480.92862702
bh9_02_6R -480.8701010290 -478.5477791920 -480.87073463
bh9_02_6TS -480.8441016420 -478.4698189790 -480.84345277
bh9_02_70P -1069.3604253900 -1064.3929150300 -1069.36082986
bh9_02_70TS -1069.3132025800 -1064.2926310000 -1069.31230815
bh9_02_71P -1069.3577616500 -1064.3958725000 -1069.35819016
bh9_02_71TS -1069.3152214900 -1064.2950332600 -1069.31376104
bh9_02_72P -1069.3792671800 -1064.4153955700 -1069.38064990
bh9_02_72R -1069.3485571900 -1064.3694828400 -1069.34852037
bh9_02_72TS -1069.3193855100 -1064.2978458600 -1069.31947102
bh9_02_73P -730.3835049210 -726.8284341000 -730.38311343
bh9_02_73R1 -574.6237479250 -571.8726600270 -574.62322187
bh9_02_73R2 -155.6961168730 -154.9173767820 -155.69565100
bh9_02_73TS -730.3157823410 -726.7368521180 -730.31504134
bh9_02_74P -730.3865031820 -726.8302693140 -730.38644720
bh9_02_74R -730.3851139550 -726.8419602830 -730.38624441
bh9_02_74TS -730.3470405690 -726.7758288540 -730.34703505
bh9_02_75P -769.6638278030 -765.9015848550 -769.66363055
bh9_02_75R2 -194.9810649340 -193.9991374600 -194.98138341
bh9_02_75TS -769.6018508020 -765.8162856020 -769.60185193
bh9_02_76R -769.6340953970 -765.8825308690 -769.63585275
bh9_02_76TS -769.6086676670 -765.8273204800 -769.60904408
bh9_02_77P -846.9556826240 -842.8066196230 -846.95415012
bh9_02_77R2 -272.2622677080 -270.8906914990 -272.26162398
bh9_02_77TS -846.8873581220 -842.7137817260 -846.88591939
bh9_02_78R -846.9200414630 -842.7866238100 -846.92001809
bh9_02_78TS -846.8991536730 -842.7280862420 -846.89832669
bh9_02_79P -887.3888419920 -883.0053075130 -887.38843990
bh9_02_79TS -887.3267455850 -882.9198913920 -887.32660697
bh9_02_7P -1309.2097951200 -1303.0783652300 -1309.20918661
bh9_02_7R -1309.1720765700 -1303.0582195200 -1309.17267930
bh9_02_7TS -1309.1683019800 -1302.9796655000 -1309.16849220
bh9_02_80R -887.3641384850 -882.9970847370 -887.36552168
bh9_02_81P -731.6182558510 -728.0279826430 -731.61828747
bh9_02_81R2 -156.9353595800 -156.1259436780 -156.93530631
bh9_02_81TS -731.5537107560 -727.9413203790 -731.55370856
bh9_02_82P -731.6084313630 -728.0177726770 -731.60817597
bh9_02_82R1 -383.1922148200 -381.3358033370 -383.19222802
bh9_02_82R2 -348.3645933600 -346.6619148790 -348.36448353
bh9_02_82TS -731.5490320920 -727.9457431460 -731.54894867
bh9_02_83P -1003.7663372500 -998.9174245500 -1003.76781391
bh9_02_83R -1003.7222864100 -998.8711451550 -1003.72331293
bh9_02_83TS -1003.6923612300 -998.8408783000 -1003.69253605
bh9_02_84P -752.0514454260 -748.3696453550 -752.05147770
bh9_02_84R -752.0102797740 -748.3355790770 -752.01068524
bh9_02_84TS -751.9800077770 -748.2684851370 -751.98023351
bh9_02_85R -752.0157599750 -748.3410779800 -752.01630474
bh9_02_85TS -751.9791828180 -748.2668425980 -751.97943745
bh9_02_86P -1380.4796298400 -1375.4618042100 -1380.47991618
bh9_02_86R -1380.4370580500 -1375.4238841000 -1380.43739655
bh9_02_86TS -1380.4093830000 -1375.3481188000 -1380.40983968
bh9_02_87R -1380.4400272600 -1375.4284577500 -1380.44055980
bh9_02_87TS -1380.4058526200 -1375.3501081000 -1380.40622382
bh9_02_88P -979.6757237040 -975.0410983760 -979.67588641
bh9_02_88R -979.6307992700 -975.0004382720 -979.63067659
bh9_02_88TS -979.6040374900 -974.9371317930 -979.60402552
bh9_02_89P -979.6764042810 -975.0416200740 -979.67627999
bh9_02_89R -979.6349885060 -975.0043378500 -979.63519286
bh9_02_89TS -979.6021861570 -974.9348062420 -979.60215296
bh9_02_8P -1056.9783972200 -1051.9478800500 -1056.97783818
bh9_02_8R -1056.9311482100 -1051.9278558700 -1056.93130135
bh9_02_8TS -1056.9283767300 -1051.8772232300 -1056.92872761
bh9_02_90P -791.2997602690 -787.4089567080 -791.29970046
bh9_02_90R -791.2577382130 -787.3709230110 -791.25804230
bh9_02_90TS -791.2262394480 -787.3036299760 -791.22627755
bh9_02_91P -791.3004996420 -787.4097980060 -791.30029180
bh9_02_91R -791.2604138850 -787.3732068800 -791.26091374
bh9_02_91TS -791.2232960060 -787.2997394290 -791.22340410
bh9_02_92P -1160.0902777900 -1155.6117610800 -1160.08957321
bh9_02_92R -1160.0400877100 -1155.5650602400 -1160.04084402
bh9_02_92TS -1160.0163275900 -1155.5015595500 -1160.01629757
bh9_02_93P -1160.0893397500 -1155.6104762400 -1160.08890296
bh9_02_93R -1160.0453205400 -1155.5670567500 -1160.04564001
bh9_02_93TS -1160.0134564600 -1155.4965408000 -1160.01314788
bh9_02_94P -909.0289322050 -904.5072152390 -909.02972045
bh9_02_94R -908.9798916590 -904.4636136710 -908.98163364
bh9_02_94TS -908.9525937470 -904.3971333270 -908.95350042
bh9_02_95P -909.0298559400 -904.5085555500 -909.03034972
bh9_02_95R -908.9824441860 -904.4652204490 -908.98421819
bh9_02_95TS -908.9512511010 -904.3951783480 -908.95231095
bh9_02_96P -502.6061974870 -500.1287604450 -502.60573233
bh9_02_96R -502.5993461560 -500.1290727000 -502.59981200
bh9_02_96TS -502.5793849920 -500.1085277710 -502.57953276
bh9_02_97P -503.1571100790 -500.6959766990 -503.15679300
bh9_02_97R -503.1912424910 -500.7443012250 -503.19129353
bh9_02_97TS -503.1256635670 -500.6510412320 -503.12440680
bh9_02_98P -234.2065319490 -233.0256903080 -234.20669074
bh9_02_98R -234.1898049930 -232.9992512020 -234.18962425
bh9_02_98TS -234.1401426520 -232.9316952170 -234.14025797
bh9_02_99P -234.2030645310 -233.0200621990 -234.20306306
bh9_02_99TS -234.1217156210 -232.9092248490 -234.12091951
bh9_02_9P -776.7140815690 -772.8547794300 -776.71393827
bh9_02_9R -776.6583933020 -772.8265629240 -776.65837716
bh9_02_9TS -776.6525611960 -772.7545117860 -776.65301255
bh9_03_10P1 -401.1797244740 -399.3749820860 -401.17940352
bh9_03_10P2 -834.8844756980 -833.1649404790 -834.88432355
bh9_03_10R1 -501.0362638930 -498.8709059750 -501.03607942
bh9_03_10R2 -735.0823154180 -733.7310122680 -735.08174429
bh9_03_10TS -1236.0519230600 -1232.5072881900 -1236.05085507
bh9_03_11P1 -359.4878777480 -357.9878728660 -359.48994482
bh9_03_11P2 -617.3275812210 -616.2484174300 -617.32745657
bh9_03_11R1 -819.3206572080 -817.5197281460 -819.32140686
bh9_03_11R2 -157.4967116950 -156.6915044690 -157.49657043
bh9_03_12P2 -498.0837493600 -497.5237882600 -498.08349578
bh9_03_12R1 -653.1008757810 -650.2253822150 -653.10088828
bh9_03_13R1 -730.2509050650 -728.6932576900 -730.25063968
bh9_03_14R1 -829.4312112770 -827.5571968230 -829.43114009
bh9_03_15R1 -488.0228487700 -485.7591832150 -488.02346298
bh9_03_16P2 -347.3334408140 -345.8598302880 -347.33371203
bh9_03_16R1 -917.1568200130 -914.7450858760 -917.15594753
bh9_03_17R1 -934.5755239200 -932.1981711200 -934.57467718
bh9_03_18R1 -769.4987754280 -767.7340918310 -769.49854338
bh9_03_19R1 -881.2103096270 -878.8838830980 -881.20960327
bh9_03_1R1 -257.3547142250 -256.1930332130 -257.35497012
bh9_03_20R1 -844.6423194060 -842.5892723310 -844.64215263
bh9_03_21P2 -652.0435856180 -650.9188968650 -652.04393469
bh9_03_21R1 -808.7472677400 -806.7699501940 -808.74786390
bh9_03_21R2 -192.2173233520 -191.3611337370 -192.21872369
bh9_03_22P2 -694.6146238480 -693.1566136530 -694.61464492
bh9_03_22R1 -1089.0305309200 -1087.4790342500 -1089.03098087
bh9_03_22R2 -234.7850908240 -233.6028556720 -234.78499488
bh9_03_23P2 -766.4451988160 -764.8340105740 -766.44517471
bh9_03_23R2 -306.6289089030 -305.2918117240 -306.63002838
bh9_03_24P1 -534.9452379960 -532.4803353400 -534.94493746
bh9_03_24R1 -634.8009093280 -631.9812927090 -634.80046404
bh9_03_24TS -1369.8162403400 -1365.6093003600 -1369.81625489
bh9_03_26P1 -875.2517592890 -872.8220780430 -875.25208735
bh9_03_26P2 -654.0918407520 -652.8854029350 -654.09218915
bh9_03_26R1 -1335.0327026900 -1332.3059331700 -1335.03218828
bh9_03_27P1 -746.9502182660 -745.0541927890 -746.94996748
bh9_03_27P2 -460.4958795510 -458.5805663950 -460.49440553
bh9_03_27R1 -846.8049213710 -844.5524374440 -846.80495883
bh9_03_27R2 -360.7082465170 -359.1677642270 -360.70947458
bh9_03_28P1 -424.3654425010 -422.4096186900 -424.36544616
bh9_03_28R1 -524.2215474770 -521.9081133280 -524.22173969
bh9_03_29P2 -461.7371031130 -459.7716941700 -461.73710608
bh9_03_29R1 -448.7751784970 -446.7186485210 -448.77581907
bh9_03_2P1 -322.6825860360 -321.2937420150 -322.68326553
bh9_03_2R1 -422.5354218850 -420.7893699030 -422.53541659
bh9_03_30P1 -367.7252393970 -365.9228441170 -367.72566312
bh9_03_30P2 -615.8228774780 -614.6461630180 -615.82298612
bh9_03_30R1 -467.5030987740 -465.3353819520 -467.50218732
bh9_03_30R2 -516.0172443810 -515.2074506060 -516.01686087
bh9_03_31P1 -784.9985678170 -782.9312026680 -784.99880427
bh9_03_31R1 -884.8455009510 -882.4205158670 -884.84478595
bh9_03_32P1 -462.4170824350 -460.2878878480 -462.41763911
bh9_03_32R1 -562.2642587740 -559.7773105590 -562.26355715
bh9_03_33P2 -655.3394279690 -654.0970080710 -655.33992873
bh9_03_34P2 -691.2868001180 -689.9576736190 -691.28715016
bh9_03_34R1 -923.1385640080 -920.6659625710 -923.13927453
bh9_03_34R2 -231.4605980700 -230.3999562200 -231.46192953
bh9_03_35P1 -442.5410631850 -440.4434939260 -442.54090980
bh9_03_35R1 -902.3700789020 -899.9952085050 -902.36953720
bh9_03_37P2 -406.4719365520 -404.7743395590 -406.47211512
bh9_03_37R2 -306.6327299110 -305.2923501500 -306.63331069
bh9_03_38P2 -730.5329863410 -728.9947731310 -730.53284785
bh9_03_38R1 -961.1522561860 -958.5183891480 -961.15349355
bh9_03_38R2 -270.7061220590 -269.4383985110 -270.70741304
bh9_03_39P2 -730.5302233840 -728.9966025060 -730.53055868
bh9_03_39R1 -866.4009844010 -864.1114116370 -866.40120042
bh9_03_3P2 -576.8422158890 -576.0116182090 -576.84225239
bh9_03_40P1 -312.0033468010 -310.4449155380 -312.00317509
bh9_03_40P2 -771.8777457420 -770.0396882720 -771.87833753
bh9_03_40R1 -771.8343022880 -770.0024030570 -771.83449805
bh9_03_41R1 -809.8467412610 -807.8461286900 -809.84778099
bh9_03_42P1 -426.4888750430 -424.4319700650 -426.49008035
bh9_03_42R1 -886.3153826560 -883.9904081130 -886.31548979
bh9_03_43P1 -478.4535382420 -476.2801444990 -478.45368337
bh9_03_43R1 -578.3070372110 -575.7748511460 -578.30632119
bh9_03_5P2 -975.8252997540 -974.7341160410 -975.82557503
bh9_03_5R2 -516.0063647330 -515.1885682280 -516.00556295
bh9_03_6P2 -653.2467796580 -652.0842513530 -653.24706303
bh9_03_6R2 -193.4191145370 -192.5277703860 -193.41914072
bh9_03_7R1 -907.9316612480 -905.6409493630 -907.93236506
bh9_03_9R1 -728.7569484190 -727.0947095410 -728.75689690
bh9_04_10P1 -813.8031268110 -811.7704859890 -813.80346392
bh9_04_10P2 -164.6005431870 -163.8696800330 -164.60010094
bh9_04_10R1 -814.4562141860 -812.3852915420 -814.45631201
bh9_04_11P1 -491.1740042800 -489.0968317900 -491.17445921
bh9_04_11R1 -491.8705030620 -489.7266672610 -491.87001932
bh9_04_12P1 -813.8075908770 -811.7815727590 -813.80685725
bh9_04_13P1 -491.2150764310 -489.1087953670 -491.21437121
bh9_04_13P2 -205.5124973850 -204.6800425580 -205.51045433
bh9_04_13R2 -204.8847499870 -204.0678501370 -204.88628804
bh9_04_15TS -1019.2912327500 -1016.4043398500 -1019.29021108
bh9_04_16P2 -151.4170807940 -150.8027209130 -151.41538181
bh9_04_16R2 -150.7589341670 -150.2028849080 -150.75810776
bh9_04_16TS -965.1974977620 -962.5274038580 -965.19807723
bh9_04_17TS -965.2029864590 -962.5396761070 -965.20257050
bh9_04_18P -782.8353483440 -780.8626466360 -782.83640012
bh9_04_18R -782.8511413320 -780.8857235610 -782.85049203
bh9_04_18TS -782.8308916770 -780.8431116510 -782.83289395
bh9_04_19P -1428.0502172000 -1426.2022973000 -1428.04889147
bh9_04_19R -1428.0535653400 -1426.2036926300 -1428.05366169
bh9_04_19TS -1428.0370356500 -1426.1720372700 -1428.03863246
bh9_04_1P -232.6286086580 -231.5603277420 -232.62932349
bh9_04_1R -232.6439002470 -231.5526295840 -232.64461230
bh9_04_1TS -232.6110695550 -231.5072400950 -232.61099757
bh9_04_20R -329.3037710180 -327.6690658880 -329.30348865
bh9_04_21R -329.2978348070 -327.6675447270 -329.29787946
bh9_04_22P1 -421.0380903840 -419.2015463650 -421.03790669
bh9_04_22P2 -438.1754777410 -437.7303061230 -438.17558049
bh9_04_22R1 -421.6987230150 -419.8194997200 -421.69831216
bh9_04_22TS -859.2071395780 -856.8989716020 -859.20728569
bh9_04_23R1 -744.3045943950 -742.4918409020 -744.30480799
bh9_04_23TS -1181.8170243800 -1179.5730223900 -1181.81749591
bh9_04_24P2 -190.6473928310 -189.8320774990 -190.64669743
bh9_04_24R2 -189.9913323100 -189.2331944030 -189.99242850
bh9_04_24TS -1004.4239231800 -1001.5554316600 -1004.42533074
bh9_04_25TS -1004.4275409100 -1001.5682364000 -1004.42710621
bh9_04_26P2 -1568.0990890000 -1566.5808372000 -1568.09878126
bh9_04_26R2 -1567.4319956900 -1565.9723792700 -1567.43274979
bh9_04_26TS -2381.8706229200 -2378.2984575600 -2381.87131938
bh9_04_27TS -2381.8687469400 -2378.3036132800 -2381.86744898
bh9_04_28P -1467.2943684700 -1465.2372046200 -1467.29315560
bh9_04_28R -1467.2967028900 -1465.2566741500 -1467.29773912
bh9_04_28TS -1467.2827776600 -1465.2102918100 -1467.28404872
bh9_04_29P1 -723.7720840760 -722.0394629930 -723.77178660
bh9_04_29R1 -724.4307578390 -722.6556104680 -724.43017098
bh9_04_29TS -1161.9433569700 -1159.7371518100 -1161.94356715
bh9_04_2P1 -322.7070855510 -321.3066824900 -322.70745958
bh9_04_2R1 -323.3433866030 -321.9130083340 -323.34352758
bh9_04_2TS -474.0825912000 -472.0641956570 -474.08229166
bh9_04_30P2 -231.8504896430 -230.7283303470 -231.84992081
bh9_04_30R1 -249.0560635740 -247.8583386820 -249.05558989
bh9_04_32P2 -1088.7562342500 -1087.1798402800 -1088.75555325
bh9_04_32R1 -766.1716573050 -764.5234750480 -766.17128051
bh9_04_33P2 -728.7792867460 -727.1234856220 -728.77989024
bh9_04_33R1 -406.1949119900 -404.4639370470 -406.19456866
bh9_04_34P2 -629.6005444130 -628.2584358450 -629.59952201
bh9_04_34R1 -307.0161842680 -305.6020354570 -307.01567042
bh9_04_35P2 -552.5585672530 -551.5819021720 -552.55784261
bh9_04_35R1 -346.2535296800 -344.6357185640 -346.25349376
bh9_04_35R2 -551.8824919600 -550.9476780490 -551.88253060
bh9_04_38P2 -154.8317779220 -154.1060575120 -154.83200204
bh9_04_38R1 -459.7232182090 -457.6751541080 -459.72328300
bh9_04_38R2 -154.1419377590 -153.4825761500 -154.14280500
bh9_04_38TS -613.8562285460 -611.1099975750 -613.85605863
bh9_04_39P2 -477.4206019040 -476.7706576820 -477.42091736
bh9_04_39R2 -476.7734311000 -476.1683206640 -476.77303772
bh9_04_3R1 -516.6643601830 -515.8096935770 -516.66467361
bh9_04_3TS -954.1855509720 -952.9055714430 -954.18568182
bh9_04_40P2 -704.7648891510 -703.1336952620 -704.76523376
bh9_04_40R1 -382.1792999340 -380.4720339910 -382.17873778
bh9_04_41P -953.7509769810 -950.9013288920 -953.75183659
bh9_04_41R -953.7439476000 -950.9058148300 -953.74429465
bh9_04_41TS -953.7195497540 -950.8462432300 -953.71934348
bh9_04_42P -1251.3136613800 -1247.5204754700 -1251.31211321
bh9_04_42R -1251.3012287700 -1247.5265952600 -1251.30187700
bh9_04_42TS -1251.2866435000 -1247.4744622800 -1251.28543889
bh9_04_44P2 -684.8961367320 -683.3031791160 -684.89621046
bh9_04_44R1 -362.3097762700 -360.6404873830 -362.30904459
bh9_04_45P2 -271.3661551150 -270.0564770840 -271.36612220
bh9_04_45R1 -271.0980390660 -269.7688141140 -271.09774949
bh9_04_46P2 -593.9534249210 -592.7185020510 -593.95370206
bh9_04_46R2 -593.3064840180 -592.1159953220 -593.30615764
bh9_04_47P2 -730.2547031860 -728.6913634280 -730.25459342
bh9_04_47R1 -603.5218466980 -600.9345093320 -603.52258085
bh9_04_4P -271.8719663800 -270.5991629330 -271.87265617
bh9_04_4R -271.8865910430 -270.5913734800 -271.88740261
bh9_04_4TS -271.8536834200 -270.5472948580 -271.85360835
bh9_04_50R1 -480.9371427410 -478.6009421110 -480.93642754
bh9_04_51P2 -213.4381880430 -212.3432617910 -213.43891594
bh9_04_51R2 -212.7699518050 -211.7302481490 -212.76997110
bh9_04_52P2 -668.8479580700 -667.2988825700 -668.84734539
bh9_04_53R1 -424.7523060500 -422.7173908210 -424.75333559
bh9_04_54P1 -643.6721291730 -640.9162282070 -643.67291624
bh9_04_54P2 -264.2389146030 -263.0498604110 -264.23900954
bh9_04_54R1 -644.3431597450 -641.5431530760 -644.34316496
bh9_04_54R2 -263.5953658530 -262.4389333100 -263.59442593
bh9_04_54TS -907.9088960490 -903.9304972420 -907.90951192
bh9_04_55P2 -475.4245158320 -473.2767232390 -475.42379512
bh9_04_56R -485.0867750230 -482.6626337560 -485.08635297
bh9_04_57P2 -307.1586303110 -305.7669555960 -307.15868525
bh9_04_57R1 -385.5072485270 -383.6800920010 -385.50745231
bh9_04_57R2 -306.5012606560 -305.1665637410 -306.50324796
bh9_04_58P2 -436.5826278280 -434.6965159520 -436.58270116
bh9_04_58R1 -472.3406647020 -470.2411251800 -472.34086073
bh9_04_58R2 -435.9118494360 -434.0704047480 -435.91260080
bh9_04_59P2 -310.3454791290 -308.8091291230 -310.34517532
bh9_04_5P2 -115.5839744810 -115.0617255500 -115.58416396
bh9_04_5R1 -323.4248835540 -321.9826598110 -323.42564692
bh9_04_5R2 -114.8950072950 -114.4387904470 -114.89597820
bh9_04_60P2 -459.4992788560 -457.4236120740 -459.49933527
bh9_04_61R -560.2318283640 -557.5188832540 -560.23079197
bh9_04_62P1 -679.4530533720 -676.4740939950 -679.45370324
bh9_04_62P2 -228.8274904760 -227.8501688210 -228.82744389
bh9_04_62R1 -680.1086780010 -677.0915437900 -680.10940113
bh9_04_62R2 -228.1554910080 -227.2246028330 -228.15643523
bh9_04_63P1 -471.6795042130 -469.6178902260 -471.68000080
bh9_04_63R1 -472.3390231700 -470.2391310180 -472.34010583
bh9_04_64P -1032.2405013300 -1028.9830300700 -1032.24158858
bh9_04_64R -1032.2299738300 -1028.9788187600 -1032.22974967
bh9_04_64TS -1032.2123550600 -1028.9253024500 -1032.21148144
bh9_04_65P1 -587.4911172800 -584.9456886340 -587.49119198
bh9_04_65R2 -484.6929665160 -482.5453654430 -484.69240154
bh9_04_66P2 -344.7899077420 -343.0926212450 -344.78808338
bh9_04_66R2 -344.1190612860 -342.4636380300 -344.11790332
bh9_04_67P2 -385.5138542350 -383.6822873400 -385.51291553
bh9_04_68R1 -844.6702760230 -842.6047032730 -844.66962117
bh9_04_69R -524.3325758070 -521.6999163150 -524.33176788
bh9_04_6P1 -263.9205176080 -262.7777000620 -263.92057814
bh9_04_6R1 -264.5967393840 -263.4104362730 -264.59702263
bh9_04_6TS -492.7448905520 -490.6006822630 -492.74697907
bh9_04_70P2 -233.3307221150 -232.1913975250 -233.33102866
bh9_04_70R1 -569.9415316840 -567.3331597820 -569.93940725
bh9_04_70R2 -232.6397396990 -231.5675443180 -232.64067729
bh9_04_71P2 -308.3939503780 -306.9600270520 -308.39389554
bh9_04_71R2 -307.7400853180 -306.3627384340 -307.74194388
bh9_04_73P1 -851.4359362220 -847.7643362520 -851.43599027
bh9_04_73P2 -264.2185907140 -263.0291123450 -264.21888329
bh9_04_73R1 -852.1062443520 -848.3910215100 -852.10559016
bh9_04_73TS -1115.6353255800 -1110.7478035700 -1115.63668650
bh9_04_74R1 -480.0007278460 -477.7132920030 -479.99974198
bh9_04_75R1 -499.9023911840 -497.5750771550 -499.90165825
bh9_04_79P1 -886.5216809370 -882.5916134560 -886.52171990
bh9_04_79P2 -118.9180220400 -118.2763074190 -118.91816421
bh9_04_79R1 -887.1993258470 -883.2250854300 -887.19855766
bh9_04_79R2 -118.2480290480 -117.6489143590 -118.24814510
bh9_04_79TS -1005.4219984800 -1000.8211037300 -1005.42292846
bh9_04_7R1 -264.5630842150 -263.3798951600 -264.56425009
bh9_04_80P1 -818.5989949100 -816.0900181220 -818.59956254
bh9_04_80R1 -819.2581895430 -816.7119559270 -819.25795115
bh9_04_81P2 -550.5788974480 -548.1423012810 -550.57836061
bh9_04_82P1 -495.0259964300 -492.9424349420 -495.02645293
bh9_04_82P2 -887.1993631170 -883.2303798260 -887.19848288
bh9_04_82R1 -495.6932649810 -493.5648432850 -495.69356230
bh9_04_82R2 -886.5220498800 -882.5967340910 -886.52215243
bh9_04_82TS -1382.1898344800 -1376.1077729900 -1382.19012127
bh9_04_83P1 -817.6104945260 -815.5919221230 -817.61092568
bh9_04_83R1 -818.2779052590 -816.2143810000 -818.27790088
bh9_04_83TS -1704.7757078800 -1698.7575086800 -1704.77638123
bh9_04_84R -885.7462560080 -881.4994264850 -885.74538860
bh9_04_85P1 -550.3377772700 -547.9909556280 -550.33804367
bh9_04_85R1 -550.9994624040 -548.6156453760 -550.99955575
bh9_04_85TS -1437.4980985000 -1431.1597219400 -1437.49900861
bh9_04_86R1 -748.7286179580 -745.1685028910 -748.72775060
bh9_04_89P1 -495.7070206300 -493.4454409990 -495.70730750
bh9_04_89P2 -887.1970538580 -883.2270708830 -887.19622739
bh9_04_89R1 -496.3735177850 -494.0762679600 -496.37333166
bh9_04_89R2 -886.5183683230 -882.5943038920 -886.51816905
bh9_04_89TS -1382.8725120500 -1376.6217685000 -1382.87256600
bh9_04_8R -290.0548619240 -288.6309038580 -290.05496017
bh9_04_90P1 -770.0649892790 -766.7198749200 -770.06451885
bh9_04_90R1 -770.6974114220 -767.3219306030 -770.69750990
bh9_04_90TS -1657.2282908900 -1649.8673928600 -1657.23078735
bh9_05_10P1 -870.8978473750 -866.9534251050 -870.89657507
bh9_05_10P2 -455.9055401330 -453.9541300500 -455.90557118
bh9_05_10R1 -871.5788586170 -867.5787832450 -871.57747309
bh9_05_10R2 -455.2379412360 -453.3472814040 -455.23792003
bh9_05_10TS -1326.8182174300 -1320.8443512500 -1326.81542130
bh9_05_11P2 -603.3588004130 -600.7753682680 -603.36009729
bh9_05_11R2 -602.7088332380 -600.1793997330 -602.70879678
bh9_05_11TS -1474.2890773900 -1467.6763842000 -1474.28731841
