Name E(HF/CBS) E(HF/aDZ) E(HF/aDZ-ACP_HF)
bh9_02_77R2 -270.9705174970 -270.8906914990 -270.9699903860
bh9_02_77TS -842.9549576350 -842.7137817260 -842.9544737547
bh9_02_78R -843.0291718310 -842.7866238100 -843.0290361567
bh9_02_78TS -842.9680453230 -842.7280862420 -842.9680823113
bh9_02_79P -883.2576145660 -883.0053075130 -883.2584510224
bh9_02_79TS -883.1756924630 -882.9198913920 -883.1760388059
bh9_02_7P -1303.4652870200 -1303.0783652300 -1303.4654785424
bh9_02_7R -1303.4516887700 -1303.0582195200 -1303.4518707488
bh9_02_7TS -1303.3679718800 -1302.9796655000 -1303.3684514671
bh9_02_80R -883.2554397080 -882.9970847370 -883.2553662163
bh9_02_81P -728.2375627180 -728.0279826430 -728.2381648462
bh9_02_81R2 -156.1782008740 -156.1259436780 -156.1780126448
bh9_02_81TS -728.1542590220 -727.9413203790 -728.1543156712
bh9_02_82P -728.2277760600 -728.0177726770 -728.2280734259
bh9_02_82R1 -381.4498273150 -381.3358033370 -381.4492932058
bh9_02_82R2 -346.7668687960 -346.6619148790 -346.7667441347
bh9_02_82TS -728.1583764810 -727.9457431460 -728.1584288590
bh9_02_83P -999.2099714350 -998.9174245500 -999.2099165437
bh9_02_83R -999.1612727330 -998.8711451550 -999.1610907699
bh9_02_83TS -999.1330756410 -998.8408783000 -999.1323173798
bh9_02_84P -748.5847199070 -748.3696453550 -748.5846031160
bh9_02_84R -748.5537112430 -748.3355790770 -748.5534727543
bh9_02_84TS -748.4845594190 -748.2684851370 -748.4846041564
bh9_02_85R -748.5593212250 -748.3410779800 -748.5590012423
bh9_02_85TS -748.4829842480 -748.2668425980 -748.4829341088
bh9_02_86P -1375.7606545400 -1375.4618042100 -1375.7608120955
bh9_02_86R -1375.7255406100 -1375.4238841000 -1375.7255134979
bh9_02_86TS -1375.6464004500 -1375.3481188000 -1375.6468648286
bh9_02_87R -1375.7307834400 -1375.4284577500 -1375.7305737436
bh9_02_87TS -1375.6489776300 -1375.3501081000 -1375.6490951086
bh9_02_88P -975.3274162520 -975.0410983760 -975.3274622680
bh9_02_88R -975.2895624240 -975.0004382720 -975.2892996045
bh9_02_88TS -975.2243704170 -974.9371317930 -975.2242464736
bh9_02_89P -975.3279319570 -975.0416200740 -975.3278789411
bh9_02_89R -975.2936091780 -975.0043378500 -975.2930199265
bh9_02_89TS -975.2221706750 -974.9348062420 -975.2218821286
bh9_02_8P -1052.2518439900 -1051.9478800500 -1052.2514082314
bh9_02_8R -1052.2387968300 -1051.9278558700 -1052.2385969494
bh9_02_8TS -1052.1839070400 -1051.8772232300 -1052.1837325714
bh9_02_90P -787.6357971760 -787.4089567080 -787.6357439798
bh9_02_90R -787.6007230120 -787.3709230110 -787.6005636895
bh9_02_90TS -787.5314849700 -787.3036299760 -787.5315311845
bh9_02_91P -787.6366712570 -787.4097980060 -787.6365879026
bh9_02_91R -787.6031055510 -787.3732068800 -787.6028065372
bh9_02_91TS -787.5276791730 -787.2997394290 -787.5275618661
bh9_02_92P -1155.8892889700 -1155.6117610800 -1155.8891924800
bh9_02_92R -1155.8450785900 -1155.5650602400 -1155.8450921157
bh9_02_92TS -1155.7795552000 -1155.5015595500 -1155.7794338136
bh9_02_93P -1155.8880808100 -1155.6104762400 -1155.8879710092
bh9_02_93R -1155.8469805700 -1155.5670567500 -1155.8464400011
bh9_02_93TS -1155.7743206800 -1155.4965408000 -1155.7742049270
bh9_02_94P -904.7687465520 -904.5072152390 -904.7687357807
bh9_02_94R -904.7276791860 -904.4636136710 -904.7279434848
bh9_02_94TS -904.6592822410 -904.3971333270 -904.6594488155
bh9_02_95P -904.7700639730 -904.5085555500 -904.7700172965
bh9_02_95R -904.7294155790 -904.4652204490 -904.7294394593
bh9_02_95TS -904.6575143780 -904.3951783480 -904.6574940776
bh9_02_96P -500.2740590630 -500.1287604450 -500.2740319422
bh9_02_96R -500.2730902800 -500.1290727000 -500.2731600526
bh9_02_96TS -500.2542059720 -500.1085277710 -500.2537294336
bh9_02_97P -500.8440474280 -500.6959766990 -500.8439257502
bh9_02_97R -500.8905212360 -500.7443012250 -500.8908152884
bh9_02_97TS -500.7983503200 -500.6510412320 -500.7976635677
bh9_02_98P -233.1006827300 -233.0256903080 -233.1006487934
bh9_02_98R -233.0717363560 -232.9992512020 -233.0718603202
bh9_02_98TS -233.0048112780 -232.9316952170 -233.0047352601
bh9_02_99P -233.0951407630 -233.0200621990 -233.0948880749
bh9_02_99TS -232.9817851770 -232.9092248490 -232.9811658355
bh9_02_9P -773.0836557210 -772.8547794300 -773.0839538665
bh9_02_9R -773.0631758710 -772.8265629240 -773.0632713000
bh9_02_9TS -772.9861983090 -772.7545117860 -772.9867376387
bh9_03_10P1 -399.4997982290 -399.3749820860 -399.4994795934
bh9_03_10P2 -833.3499410740 -833.1649404790 -833.3497135407
bh9_03_10R1 -499.0295437260 -498.8709059750 -499.0295111415
bh9_03_10R2 -733.8736348090 -733.7310122680 -733.8735283636
bh9_03_10TS -1232.8086279800 -1232.5072881900 -1232.8076923162
bh9_03_11P1 -358.0964389570 -357.9878728660 -358.0967700190
bh9_03_11P2 -616.3167278420 -616.2484174300 -616.3167773501
bh9_03_11R1 -817.6508318430 -817.5197281460 -817.6500628623
bh9_03_11R2 -156.7436398850 -156.6915044690 -156.7432527908
bh9_03_12P2 -497.5838554350 -497.5237882600 -497.5838923119
bh9_03_12R1 -650.4245244730 -650.2253822150 -650.4242849404
bh9_03_13R1 -728.7917466440 -728.6932576900 -728.7915726478
bh9_03_14R1 -827.6912541370 -827.5571968230 -827.6911177932
bh9_03_15R1 -485.9100903810 -485.7591832150 -485.9098929703
bh9_03_16P2 -345.9703350980 -345.8598302880 -345.9709255653
bh9_03_16R1 -914.9312072630 -914.7450858760 -914.9308915255
bh9_03_17R1 -932.3570800730 -932.1981711200 -932.3568103047
bh9_03_18R1 -767.8446114860 -767.7340918310 -767.8444798902
bh9_03_19R1 -879.0577578160 -878.8838830980 -879.0572957116
bh9_03_1R1 -256.2793453460 -256.1930332130 -256.2792314170
bh9_03_20R1 -842.7253620660 -842.5892723310 -842.7252160419
bh9_03_21P2 -650.9988099640 -650.9188968650 -650.9992742196
bh9_03_21R1 -806.8907301330 -806.7699501940 -806.8908044608
bh9_03_21R2 -191.4227323590 -191.3611337370 -191.4232974641
bh9_03_22P2 -693.2444737690 -693.1566136530 -693.2446342308
bh9_03_22R1 -1087.5912294300 -1087.4790342500 -1087.5912552627
bh9_03_22R2 -233.6747248660 -233.6028556720 -233.6744105638
bh9_03_23P2 -764.9518929210 -764.8340105740 -764.9519137649
bh9_03_23R2 -305.3911600230 -305.2918117240 -305.3910607491
bh9_03_24P1 -532.6438341830 -532.4803353400 -532.6440326637
bh9_03_24R1 -632.1797565140 -631.9812927090 -632.1797133559
bh9_03_24TS -1365.9488013700 -1365.6093003600 -1365.9486696623
bh9_03_26P1 -873.0577533430 -872.8220780430 -873.0577482902
bh9_03_26P2 -652.9644352910 -652.8854029350 -652.9649871270
bh9_03_26R1 -1332.5609720700 -1332.3059331700 -1332.5609989547
bh9_03_27P1 -745.1838730440 -745.0541927890 -745.1832967538
bh9_03_27P2 -458.7293874880 -458.5805663950 -458.7295467082
bh9_03_27R1 -844.7161534010 -844.5524374440 -844.7158934851
bh9_03_27R2 -359.2798186460 -359.1677642270 -359.2792764268
bh9_03_28P1 -422.5452538310 -422.4096186900 -422.5449712487
bh9_03_28R1 -522.0776264310 -521.9081133280 -522.0775482153
bh9_03_29P2 -459.9204322260 -459.7716941700 -459.9209178453
bh9_03_29R1 -446.8575029110 -446.7186485210 -446.8572432839
bh9_03_2P1 -321.3944227040 -321.2937420150 -321.3941176552
bh9_03_2R1 -420.9254686420 -420.7893699030 -420.9253928697
bh9_03_30P1 -366.0312995740 -365.9228441170 -366.0318686016
bh9_03_30P2 -614.7438548470 -614.6461630180 -614.7437960199
bh9_03_30R1 -465.4779073020 -465.3353819520 -465.4795131580
bh9_03_30R2 -515.2639945790 -515.2074506060 -515.2637427823
bh9_03_31P1 -783.0679813640 -782.9312026680 -783.0675493560
bh9_03_31R1 -882.5918875230 -882.4205158670 -882.5914662453
bh9_03_32P1 -460.4306092040 -460.2878878480 -460.4302742500
bh9_03_32R1 -559.9545906390 -559.7773105590 -559.9542843536
bh9_03_33P2 -654.1769365920 -654.0970080710 -654.1771320016
bh9_03_34P2 -690.0495679000 -689.9576736190 -690.0499586126
bh9_03_34R1 -920.8243890990 -920.6659625710 -920.8244833538
bh9_03_34R2 -230.4735946700 -230.3999562200 -230.4740762631
bh9_03_35P1 -440.5786319070 -440.4434939260 -440.5785483798
bh9_03_35R1 -900.1466431590 -899.9952085050 -900.1467679486
bh9_03_37P2 -404.9096338840 -404.7743395590 -404.9094185542
bh9_03_37R2 -305.3922080420 -305.2923501500 -305.3920995279
bh9_03_38P2 -729.0982833930 -728.9947731310 -729.0985630249
bh9_03_38R1 -958.6885292140 -958.5183891480 -958.6887051995
bh9_03_38R2 -269.5240599610 -269.4383985110 -269.5246175926
bh9_03_39P2 -729.1004699100 -728.9966025060 -729.1008290973
bh9_03_39R1 -864.2520722500 -864.1114116370 -864.2523982957
bh9_03_3P2 -576.0678897360 -576.0116182090 -576.0679781819
bh9_03_40P1 -310.5432758940 -310.4449155380 -310.5430164141
bh9_03_40P2 -770.1522695170 -770.0396882720 -770.1524356193
bh9_03_40R1 -770.1171115220 -770.0024030570 -770.1170229028
bh9_03_41R1 -807.9713328070 -807.8461286900 -807.9715043717
bh9_03_42P1 -424.5605709340 -424.4319700650 -424.5611703225
bh9_03_42R1 -884.1371755840 -883.9904081130 -884.1375934508
bh9_03_43P1 -476.4293003940 -476.2801444990 -476.4294176331
bh9_03_43R1 -575.9591212100 -575.7748511460 -575.9592195748
bh9_03_5P2 -974.8088223950 -974.7341160410 -974.8088144413
bh9_03_5R2 -515.2479675400 -515.1885682280 -515.2477127891
bh9_03_6P2 -652.1637462900 -652.0842513530 -652.1638416803
bh9_03_6R2 -192.5910684710 -192.5277703860 -192.5908699188
bh9_03_7R1 -905.7974921120 -905.6409493630 -905.7972722483
bh9_03_9R1 -727.2216076000 -727.0947095410 -727.2212475361
bh9_04_10P1 -811.9170970500 -811.7704859890 -811.9178025542
bh9_04_10P2 -163.9200005530 -163.8696800330 -163.9192714400
bh9_04_10R1 -812.5324169260 -812.3852915420 -812.5332472467
bh9_04_11P1 -489.2477248730 -489.0968317900 -489.2487128292
bh9_04_11R1 -489.8786520130 -489.7266672610 -489.8792327776
bh9_04_12P1 -811.9261785290 -811.7815727590 -811.9265745753
bh9_04_13P1 -489.2605371230 -489.1087953670 -489.2609648477
bh9_04_13P2 -204.7450374490 -204.6800425580 -204.7447686319
bh9_04_13R2 -204.1329760570 -204.0678501370 -204.1329571476
bh9_04_15TS -1016.6117339900 -1016.4043398500 -1016.6125776218
bh9_04_16P2 -150.8531405740 -150.8027209130 -150.8533127086
bh9_04_16R2 -150.2528101840 -150.2028849080 -150.2528620003
bh9_04_16TS -962.7208813690 -962.5274038580 -962.7211525286
bh9_04_17TS -962.7338724570 -962.5396761070 -962.7337845301
bh9_04_18P -781.0023356110 -780.8626466360 -781.0028491773
bh9_04_18R -781.0231278630 -780.8857235610 -781.0232226332
bh9_04_18TS -780.9806179490 -780.8431116510 -780.9813804633
bh9_04_19P -1426.3337135100 -1426.2022973000 -1426.3338803353
bh9_04_19R -1426.3300029600 -1426.2036926300 -1426.3296590449
bh9_04_19TS -1426.2996217900 -1426.1720372700 -1426.2999609525
bh9_04_1P -231.6345980570 -231.5603277420 -231.6350686056
bh9_04_1R -231.6268723380 -231.5526295840 -231.6266449799
bh9_04_1TS -231.5804864380 -231.5072400950 -231.5804376084
bh9_04_20R -327.7698349240 -327.6690658880 -327.7696626409
bh9_04_21R -327.7683254150 -327.6675447270 -327.7683862588
bh9_04_22P1 -419.3361304430 -419.2015463650 -419.3362715630
bh9_04_22P2 -437.7659315030 -437.7303061230 -437.7660251241
bh9_04_22R1 -419.9549525480 -419.8194997200 -419.9550671117
bh9_04_22TS -857.0655699490 -856.8989716020 -857.0654071853
bh9_04_23R1 -742.6227250650 -742.4918409020 -742.6229172828
bh9_04_23TS -1179.7343965300 -1179.5730223900 -1179.7342911768
bh9_04_24P2 -189.8961524830 -189.8320774990 -189.8961527620
bh9_04_24R2 -189.2965335740 -189.2331944030 -189.2963687565
bh9_04_24TS -1001.7630516800 -1001.5554316600 -1001.7633006711
bh9_04_25TS -1001.7757411900 -1001.5682364000 -1001.7755690391
bh9_04_26P2 -1566.6973955200 -1566.5808372000 -1566.6974954362
bh9_04_26R2 -1566.0887962200 -1565.9723792700 -1566.0886636712
bh9_04_26TS -2378.5576176100 -2378.2984575600 -2378.5574621221
bh9_04_27TS -2378.5633143300 -2378.3036132800 -2378.5627383013
bh9_04_28P -1465.3798625800 -1465.2372046200 -1465.3795773057
bh9_04_28R -1465.3957282600 -1465.2566741500 -1465.3959259977
bh9_04_28TS -1465.3493289100 -1465.2102918100 -1465.3496070089
bh9_04_29P1 -722.1614707150 -722.0394629930 -722.1614283431
bh9_04_29R1 -722.7786782560 -722.6556104680 -722.7788728718
bh9_04_29TS -1159.8910305300 -1159.7371518100 -1159.8911068173
bh9_04_2P1 -321.4096993360 -321.3066824900 -321.4095879003
bh9_04_2R1 -322.0159417280 -321.9130083340 -322.0159062563
bh9_04_2TS -472.2146082410 -472.0641956570 -472.2140926061
bh9_04_30P2 -230.7983531310 -230.7283303470 -230.7981402943
bh9_04_30R1 -247.9344630510 -247.8583386820 -247.9340140303
bh9_04_32P2 -1087.2869178200 -1087.1798402800 -1087.2865660889
bh9_04_32R1 -764.6349647380 -764.5234750480 -764.6347802673
bh9_04_33P2 -727.2475472760 -727.1234856220 -727.2477660918
bh9_04_33R1 -404.5931348130 -404.4639370470 -404.5929374348
bh9_04_34P2 -628.3477193420 -628.2584358450 -628.3473115615
bh9_04_34R1 -305.6957799060 -305.6020354570 -305.6955852511
bh9_04_35P2 -551.6755938280 -551.5819021720 -551.6749185499
bh9_04_35R1 -344.7402434720 -344.6357185640 -344.7403653488
bh9_04_35R2 -551.0413381470 -550.9476780490 -551.0409713994
bh9_04_38P2 -154.1579448180 -154.1060575120 -154.1581065642
bh9_04_38R1 -457.8167412440 -457.6751541080 -457.8167796668
bh9_04_38R2 -153.5329369180 -153.4825761500 -153.5334393467
bh9_04_38TS -611.2996010070 -611.1099975750 -611.2991556721
bh9_04_39P2 -476.8178140220 -476.7706576820 -476.8181233475
bh9_04_39R2 -476.2129005800 -476.1683206640 -476.2126233337
bh9_04_3R1 -515.8688331850 -515.8096935770 -515.8691631275
bh9_04_3TS -952.9955832630 -952.9055714430 -952.9953368480
bh9_04_40P2 -703.2459472540 -703.1336952620 -703.2461495241
bh9_04_40R1 -380.5893992330 -380.4720339910 -380.5892042358
bh9_04_41P -951.1617152410 -950.9013288920 -951.1610607473
bh9_04_41R -951.1649809760 -950.9058148300 -951.1651493856
bh9_04_41TS -951.1026468640 -950.8462432300 -951.1029764747
bh9_04_42P -1247.8893836900 -1247.5204754700 -1247.8880643389
bh9_04_42R -1247.8961167300 -1247.5265952600 -1247.8957815271
bh9_04_42TS -1247.8397844800 -1247.4744622800 -1247.8395341092
bh9_04_44P2 -683.4079596920 -683.3031791160 -683.4081730006
bh9_04_44R1 -360.7502767150 -360.6404873830 -360.7500598944
bh9_04_45P2 -270.1398131860 -270.0564770840 -270.1398437416
bh9_04_45R1 -269.8509197450 -269.7688141140 -269.8507668887
bh9_04_46P2 -592.7970625730 -592.7185020510 -592.7973793521
bh9_04_46R2 -592.1919805370 -592.1159953220 -592.1918196668
bh9_04_47P2 -728.7911461560 -728.6913634280 -728.7910358611
bh9_04_47R1 -601.1130205540 -600.9345093320 -601.1123667663
bh9_04_4P -270.6854299090 -270.5991629330 -270.6858902422
bh9_04_4R -270.6776382220 -270.5913734800 -270.6773699625
bh9_04_4TS -270.6321901860 -270.5472948580 -270.6322375126
bh9_04_50R1 -478.7427497000 -478.6009421110 -478.7429865512
bh9_04_51P2 -212.4125264220 -212.3432617910 -212.4122400466
bh9_04_51R2 -211.7974767380 -211.7302481490 -211.7970373870
bh9_04_52P2 -667.4001754010 -667.2988825700 -667.3998695671
bh9_04_53R1 -422.8449791080 -422.7173908210 -422.8450903831
bh9_04_54P1 -641.1149982250 -640.9162282070 -641.1149804681
bh9_04_54P2 -263.1323485400 -263.0498604110 -263.1328512811
bh9_04_54R1 -641.7433311630 -641.5431530760 -641.7433680552
bh9_04_54R2 -262.5212302190 -262.4389333100 -262.5215016350
bh9_04_54TS -904.2086663430 -903.9304972420 -904.2094852846
bh9_04_55P2 -473.4191074290 -473.2767232390 -473.4189084377
bh9_04_56R -482.8065861800 -482.6626337560 -482.8063601556
bh9_04_57P2 -305.8647154680 -305.7669555960 -305.8650947256
bh9_04_57R1 -383.7977335520 -383.6800920010 -383.7977067431
bh9_04_57R2 -305.2635887790 -305.1665637410 -305.2638046314
bh9_04_58P2 -434.8347360440 -434.6965159520 -434.8348161010
bh9_04_58R1 -470.3877807180 -470.2411251800 -470.3864612742
bh9_04_58R2 -434.2069873440 -434.0704047480 -434.2069493305
bh9_04_59P2 -308.9032227720 -308.8091291230 -308.9031930794
bh9_04_5P2 -115.1017650500 -115.0617255500 -115.1018367609
bh9_04_5R1 -322.0825488350 -321.9826598110 -322.0824847823
bh9_04_5R2 -114.4772138920 -114.4387904470 -114.4776993572
bh9_04_60P2 -457.5633756600 -457.4236120740 -457.5636850964
bh9_04_61R -557.6874566570 -557.5188832540 -557.6869322487
bh9_04_62P1 -676.6816990180 -676.4740939950 -676.6809917044
bh9_04_62P2 -227.9251949820 -227.8501688210 -227.9254015445
bh9_04_62R1 -677.2995437790 -677.0915437900 -677.2991368553
bh9_04_62R2 -227.2980020920 -227.2246028330 -227.2980661696
bh9_04_63P1 -469.7630287080 -469.6178902260 -469.7625531258
bh9_04_63R1 -470.3849603460 -470.2391310180 -470.3844716809
bh9_04_64P -1029.2676849700 -1028.9830300700 -1029.2674004816
bh9_04_64R -1029.2610714900 -1028.9788187600 -1029.2610824223
bh9_04_64TS -1029.2048922800 -1028.9253024500 -1029.2052298665
bh9_04_65P1 -585.1211326220 -584.9456886340 -585.1207115427
bh9_04_65R2 -482.6983700900 -482.5453654430 -482.6981204300
bh9_04_66P2 -343.1937042670 -343.0926212450 -343.1940984259
bh9_04_66R2 -342.5634775050 -342.4636380300 -342.5636851923
bh9_04_67P2 -383.7999230940 -383.6822873400 -383.7996893890
bh9_04_68R1 -842.7399966650 -842.6047032730 -842.7396991042
bh9_04_69R -521.8557154630 -521.6999163150 -521.8553997367
bh9_04_6P1 -262.8607523570 -262.7777000620 -262.8598004488
bh9_04_6R1 -263.4946526400 -263.4104362730 -263.4937978464
bh9_04_6TS -490.7560319980 -490.6006822630 -490.7555124020
bh9_04_70P2 -232.2666852670 -232.1913975250 -232.2666493984
bh9_04_70R1 -567.5055033500 -567.3331597820 -567.5056007996
bh9_04_70R2 -231.6415621040 -231.5675443180 -231.6419266529
bh9_04_71P2 -307.0585724950 -306.9600270520 -307.0588527996
bh9_04_71R2 -306.4603890540 -306.3627384340 -306.4605393524
bh9_04_73P1 -848.0250564030 -847.7643362520 -848.0250651214
bh9_04_73P2 -263.1108329240 -263.0291123450 -263.1110302231
bh9_04_73R1 -848.6533626370 -848.3910215100 -848.6535373861
bh9_04_73TS -1111.0887279100 -1110.7478035700 -1111.0891495949
bh9_04_74R1 -477.8626489890 -477.7132920030 -477.8627527551
bh9_04_75R1 -497.7302696540 -497.5750771550 -497.7300472338
bh9_04_79P1 -882.8493965440 -882.5916134560 -882.8491249907
bh9_04_79P2 -118.3174513160 -118.2763074190 -118.3175889844
bh9_04_79R1 -883.4841796340 -883.2250854300 -883.4842991687
bh9_04_79R2 -117.6889559120 -117.6489143590 -117.6885346345
bh9_04_79TS -1001.1167329800 -1000.8211037300 -1001.1167869577
bh9_04_7R1 -263.4632463290 -263.3798951600 -263.4622642254
bh9_04_80P1 -816.3012215840 -816.0900181220 -816.3009073212
bh9_04_80R1 -816.9243842650 -816.7119559270 -816.9243259227
bh9_04_81P2 -548.3071543440 -548.1423012810 -548.3072508356
bh9_04_82P1 -493.0999358200 -492.9424349420 -493.1000197169
bh9_04_82P2 -883.4894965880 -883.2303798260 -883.4902081882
bh9_04_82R1 -493.7232235630 -493.5648432850 -493.7236393939
bh9_04_82R2 -882.8542958830 -882.5967340910 -882.8546339511
bh9_04_82TS -1376.5213887300 -1376.1077729900 -1376.5215318065
bh9_04_83P1 -815.7442145770 -815.5919221230 -815.7441551977
bh9_04_83R1 -816.3674776790 -816.2143810000 -816.3676843719
bh9_04_83TS -1699.1659808200 -1698.7575086800 -1699.1662754200
bh9_04_84R -881.7680086840 -881.4994264850 -881.7685587371
bh9_04_85P1 -548.1610408730 -547.9909556280 -548.1613079559
bh9_04_85R1 -548.7870129630 -548.6156453760 -548.7874130773
bh9_04_85TS -1431.5855756200 -1431.1597219400 -1431.5859246103
bh9_04_86R1 -745.3899462620 -745.1685028910 -745.3898731989
bh9_04_89P1 -493.5965645630 -493.4454409990 -493.5966032840
bh9_04_89P2 -883.4861288230 -883.2270708830 -883.4863903502
bh9_04_89R1 -494.2294148230 -494.0762679600 -494.2294664669
bh9_04_89R2 -882.8519846810 -882.5943038920 -882.8522128905
bh9_04_89TS -1377.0295083900 -1376.6217685000 -1377.0299476399
bh9_04_8R -288.7200377100 -288.6309038580 -288.7197376455
bh9_04_90P1 -766.9498968280 -766.7198749200 -766.9494203897
bh9_04_90R1 -767.5514399990 -767.3219306030 -767.5513167216
bh9_04_90TS -1650.3483393600 -1649.8673928600 -1650.3472585071
bh9_05_10P1 -867.2085480190 -866.9534251050 -867.2084167842
bh9_05_10P2 -454.0963516480 -453.9541300500 -454.0963720930
bh9_05_10R1 -867.8347943020 -867.5787832450 -867.8347948806
bh9_05_10R2 -453.4909779420 -453.3472814040 -453.4915108057
bh9_05_10TS -1321.2363697000 -1320.8443512500 -1321.2366886467
bh9_05_11P2 -600.9581494870 -600.7753682680 -600.9588700039
bh9_05_11R2 -600.3645161500 -600.1793997330 -600.3649881051
bh9_05_11TS -1468.1087453300 -1467.6763842000 -1468.1085377847
bh9_05_12P1 -269.0016369650 -268.9208273330 -269.0017724615
bh9_05_12P2 -688.2456241850 -688.0373698310 -688.2457473169
bh9_05_12R1 -269.7940590050 -269.7128747050 -269.7941027102
bh9_05_12R2 -687.4181817830 -687.2100125960 -687.4197590191
bh9_05_12TS -957.1458868030 -956.8606974120 -957.1463358840
bh9_05_13P1 -231.4219068180 -231.3434837900 -231.4219999949
bh9_05_13R1 -232.2532791960 -232.1752156940 -232.2533157065
bh9_05_13TS -919.5825070170 -919.2995075000 -919.5823246635
bh9_05_14P1 -344.7316274210 -344.6275316860 -344.7312479873
bh9_05_14R1 -345.5236213940 -345.4197370020 -345.5235601282
bh9_05_14TS -1032.8816238500 -1032.5730068400 -1032.8815514838
bh9_05_15P1 -382.9669242820 -382.8471791570 -382.9666849956
bh9_05_15R1 -383.7774120420 -383.6589240700 -383.7773638529
bh9_05_15TS -1071.1112872900 -1070.7881164400 -1071.1112237265
bh9_05_16P1 -841.9023861730 -841.7641870070 -841.9022104359
bh9_05_16R1 -842.7174901890 -842.5813210910 -842.7174790079
bh9_05_16TS -1530.0479751900 -1529.7067658600 -1530.0478328192
bh9_05_17P1 -789.1027479300 -788.8716498820 -789.1026056833
bh9_05_17P2 -990.0151697010 -989.8131028230 -990.0149440848
bh9_05_17R1 -789.7338938460 -789.5019677030 -789.7339381827
bh9_05_17R2 -989.4054599850 -989.2018767770 -989.4054817000
bh9_05_17TS -1779.0461281500 -1778.6189208900 -1779.0462882322
bh9_05_18P1 -833.8055243770 -833.5540696100 -833.8061094821
bh9_05_18P2 -683.6748613370 -683.4726794080 -683.6749227355
bh9_05_18R1 -834.5662827070 -834.3140602270 -834.5666319229
bh9_05_18R2 -683.1149518700 -682.9106868880 -683.1150005825
bh9_05_18TS -1517.5881939600 -1517.1383315200 -1517.5883744542
bh9_05_19P1 -680.4999855870 -680.2755867120 -680.4995568378
bh9_05_19R1 -681.3035683640 -681.0800092210 -681.3032100736
bh9_05_19TS -1368.6547939800 -1368.2261540000 -1368.6546869175
bh9_05_1P -528.9735085720 -528.8091954320 -528.9738942415
bh9_05_1R -528.9629068220 -528.7992276970 -528.9632036654
bh9_05_1TS -528.9463276150 -528.7820904490 -528.9462075316
bh9_05_20P1 -420.8342006060 -420.7069933110 -420.8345950743
bh9_05_20R1 -421.6369046160 -421.5104430130 -421.6373012392
bh9_05_20TS -1108.9822213900 -1108.6517772700 -1108.9824542792
bh9_05_21P1 -458.6765290950 -458.5343821130 -458.6761269337
bh9_05_21R1 -459.4577528200 -459.3161683660 -459.4577338737
bh9_05_21TS -1146.8197807800 -1146.4733735700 -1146.8197812806
bh9_05_22P1 -586.5094916260 -586.3292715170 -586.5091112626
bh9_05_22R1 -587.3463553110 -587.1671288320 -587.3463392468
bh9_05_22TS -1274.6648170000 -1274.2811650300 -1274.6645621258
bh9_05_23P1 -422.0275067800 -421.8961673470 -422.0273387515
bh9_05_23R1 -422.8322632220 -422.7020666770 -422.8323326936
bh9_05_23TS -1110.1573568200 -1109.8237610300 -1110.1570802323
bh9_05_24P1 -673.1831356860 -672.9826895790 -673.1831783267
bh9_05_24P2 -834.5668034530 -834.3144810680 -834.5671573036
bh9_05_24R1 -673.9498295200 -673.7507244130 -673.9497491385
bh9_05_24TS -1507.6827696800 -1507.2363216300 -1507.6829496479
bh9_05_25P1 -496.9165612980 -496.7586870420 -496.9163212712
bh9_05_25R1 -497.7105408270 -497.5543899760 -497.7105228376
bh9_05_25TS -1185.0491794600 -1184.6884212400 -1185.0493131356
bh9_05_26P1 -459.8969443080 -459.7543391670 -459.8967181867
bh9_05_26R1 -460.6940150130 -460.5523962010 -460.6938250919
bh9_05_26TS -1148.0362313400 -1147.6916661600 -1148.0367994677
bh9_05_27P1 -459.9259360670 -459.7872706540 -459.9260467918
bh9_05_27R1 -460.7171482220 -460.5791690720 -460.7172864542
bh9_05_27TS -1148.0667589000 -1147.7251881700 -1148.0666307268
bh9_05_28P1 -572.6988839540 -572.5220653660 -572.6988625595
bh9_05_28R1 -573.5151208110 -573.3385219740 -573.5149355325
bh9_05_28TS -1260.8470485300 -1260.4675739700 -1260.8473057546
bh9_05_29P1 -498.6570125720 -498.5109661620 -498.6563209490
bh9_05_29R1 -499.4832459210 -499.3370279630 -499.4832872291
bh9_05_29TS -1186.8210738200 -1186.4711995200 -1186.8209195895
bh9_05_2P -509.1450862970 -508.9892608090 -509.1457739854
bh9_05_2R -509.1407732070 -508.9855649050 -509.1414186774
bh9_05_2TS -509.0979256200 -508.9419185010 -509.0982968861
bh9_05_30P1 -461.0850038900 -460.9418083890 -461.0848808678
bh9_05_30R1 -461.8854815050 -461.7435076270 -461.8855442306
bh9_05_30TS -1149.2234152800 -1148.8772432700 -1149.2236755414
bh9_05_31P1 -573.5529988360 -573.3799533590 -573.5524636267
bh9_05_31R1 -574.3657256820 -574.1942077720 -574.3657675608
bh9_05_31TS -1261.6948240000 -1261.3197950200 -1261.6947922780
bh9_05_32P1 -498.9756185090 -498.8252053860 -498.9756611812
bh9_05_32R1 -499.7662005760 -499.6171363660 -499.7661121234
bh9_05_32TS -1187.1059148600 -1186.7531361100 -1187.1056104042
bh9_05_33P1 -536.8245673320 -536.6594721090 -536.8243089284
bh9_05_33R1 -537.6142981180 -537.4497893670 -537.6141177314
bh9_05_33TS -1224.9604252500 -1224.5930417300 -1224.9610183700
